NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
1;0,56;31/03/2014;3;7;14:07:12;14:23:10;2;46;4;1968;1;0;0;1;0;2;1;1;3;2;5;1;3;3;5;5;5;2;1;1;2;1;1;1;2;2;1;1
100;4,42;04/04/2014;4;4;14:11:05;14:32:53;1;18;1;1996;1;0;1;1;0;1;2;1;1;3;1;2;3;3;1;1;3;3;1;1;1;1;1;1;1;1;1;1
101;1,12;04/04/2014;4;4;14:30:56;14:56:20;1;20;2;1994;1;0;0;0;1;2;2;0;2;5;5;5;5;5;5;5;4;4;1;2;2;2;2;2;2;2;1;1
103;1,43;04/04/2014;4;4;14:29:27;14:58:08;2;22;2;1992;1;0;0;0;1;2;2;0;1;3;1;4;5;1;3;4;1;5;1;2;2;2;2;2;2;2;1;2
105;0,67;04/04/2014;4;4;15:01:08;15:24:15;2;19;1;1995;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;1;4;1;2;2;2;2;2;2;2;1;1
106;0,49;04/04/2014;4;4;15:13:00;15:25:21;2;28;3;1986;0;0;0;0;0;2;2;0;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;
107;0,55;04/04/2014;4;4;15:18:53;15:45:31;1;28;3;1986;1;0;0;1;1;1;2;0;3;5;3;5;3;5;5;5;5;1;1;1;1;1;1;1;1;2;1;1
108;0,59;04/04/2014;4;4;15:20:14;15:46:04;1;41;4;1973;1;0;1;1;0;1;2;1;2;3;1;3;2;3;4;3;5;2;1;1;1;1;1;1;1;2;1;1
109;4,4;04/04/2014;4;4;15:07:31;15:47:16;1;32;3;1982;1;0;1;1;0;1;2;1;1;1;1;3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1
11;0,62;31/03/2014;3;7;14:50:31;15:30:27;2;24;2;1990;1;0;1;1;0;2;2;1;1;3;5;1;1;2;1;1;3;5;1;1;2;1;1;1;1;2;1;1
